id,jurisd_osm_id,ctype,pack_id,fhash,fname,fversion,is_valid,fmeta,config,ingest_instant
5169,298216,edificacoes,10,dbd818483bf963f468d78e39340ecead1edf60dc61333fea044f640a337eef17,Edificação.zip,1,t,"{""ext"": ""zip"", ""size"": 25319925, ""isdir"": false, ""access"": ""2020-09-21T07:20:27+00:00"", ""change"": ""2020-09-10T09:17:31+00:00"", ""pack_id"": 10, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Itu""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5170,298216,eixos,10,83d127374deb8b6e0882a52c4c7b2396075881588a4d0a958791a595a3fe50e7,LOGRADOURO_2019_[map_file_-_entrega_2].zip,1,t,"{""ext"": ""zip"", ""size"": 1542637, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-09-10T09:43:24+00:00"", ""pack_id"": 10, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Itu""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5171,298216,territorios,10,73b0775ed2aef37bc418c1d4001bf7371ad7e6cf9e388bb912733cfe70b6e536,Loteamento.zip,1,t,"{""ext"": ""zip"", ""size"": 204208, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-09-10T09:17:34+00:00"", ""pack_id"": 10, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Itu""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5172,298216,lotes,10,5815509df7452877971d302a341b63a1e2f7d401d3a3459d368cd3bf0586b03d,Lote_[inscricao].zip,1,t,"{""ext"": ""zip"", ""size"": 7242463, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-09-10T09:40:40+00:00"", ""pack_id"": 10, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Itu""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5173,298216,lotes,10,d515862a04eea00b6719996f4bf7ba5f23af89b2da7a694f979d11d46ab2a675,lotes_Itu_[endereco_-_map_file_-_entrega_2].zip,1,t,"{""ext"": ""zip"", ""size"": 6181825, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-09-10T09:41:20+00:00"", ""pack_id"": 10, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Itu""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5174,298216,quadras,10,2aa3b8b73d8c17dc907227da71307764fb37f456cd1cbed712728a670d3a9194,Quadra.zip,1,t,"{""ext"": ""zip"", ""size"": 2334282, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-09-10T09:14:13+00:00"", ""pack_id"": 10, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Itu""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5175,368782,enderecos,12,1ce29a555565be5f540ab0c6f93ac55797c368293e0a6bfb479a645a5a23f542,ENDERECO.csv.zip,1,t,"{""ext"": ""zip"", ""size"": 42826370, ""isdir"": false, ""access"": ""2020-09-21T07:20:21+00:00"", ""change"": ""2020-08-15T01:55:17+00:00"", ""pack_id"": 12, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-MG-BeloHorizonte""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5176,297995,cad,13,78f71924aff09f8aefd3a751525aa01e75f068a47d708806b868bffbb95eb8c2,MAPA_DE_LOTEAMENTOS.dwg,1,t,"{""ext"": ""dwg"", ""size"": 22665728, ""isdir"": false, ""access"": ""2020-09-21T07:20:42+00:00"", ""change"": ""2020-09-03T21:27:49+00:00"", ""pack_id"": 13, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoVicente""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5177,242324,territorios,14,e51c80c39330cdd2db3e325d1fefec1178736c3af878dba00e51c1d5ceec4c84,PS_LOTEAMENTOS_SIRGAS_2000.zip,1,t,"{""ext"": ""zip"", ""size"": 261041, ""isdir"": false, ""access"": ""2020-09-21T07:20:26+00:00"", ""change"": ""2020-09-10T15:53:12+00:00"", ""pack_id"": 14, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-RS-Gravatai""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5178,242324,eixos,14,9e67132032199572ca2edbad91a1fc8671cff9b33916055b961cfdfc9c7963d4,SISTEMA_VIARIO.zip,1,t,"{""ext"": ""zip"", ""size"": 1305358, ""isdir"": false, ""access"": ""2020-09-21T07:20:26+00:00"", ""change"": ""2020-09-10T08:14:09+00:00"", ""pack_id"": 14, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-RS-Gravatai""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
